name,wdid,startDate,endDate,position
Sebastián Piñera,,2018-03-11,2022-03-11,President
Andrés Chadwick,Q4760169,2018-03-11,2019-10-28,Interior
Roberto Ampuero,Q922795,2018-03-11,2019-06-13,Foreign Affairs
Alberto Espina,Q5663007,2018-03-11,2020-07-28,Defense
Felipe Larraín,Q5858275,2018-03-11,2019-10-28,Finance
Gonzalo Blumel,Q50532720,2018-03-11,2019-10-28,Gen. Sec. of thePresidency
Cecilia Pérez,Q5640564,2018-03-11,2019-10-28,Gen. Sec. ofGovernment
José Ramón Valente,Q58009685,2018-03-11,2019-06-13,Economy
Alfredo Moreno Charme,Q58293,2018-03-11,2019-06-13,SocialDevelopment
Gerardo Varela,Q55767801,2018-03-11,2018-08-09,Education
Hernán Larraín,Q5742466,2018-03-11,,Justice
Nicolás Monckeberg,Q7030399,2018-03-11,2019-10-28,Labor
Juan Andrés Fontaine,Q9015138,2018-03-11,2019-06-13,Public Works
Emilio Santelices,Q60032521,2018-03-11,2019-06-13,Health
Cristián Monckeberg,Q5791610,2018-03-11,2020-06-04,Housing &Urbanism
Antonio Walker,Q59797711,2018-03-11,2019-10-28,Agriculture
Baldo Prokurica,Q4850447,2018-03-11,2020-12-18,Mining
Gloria Hutt,Q5881260,2018-03-11,,Transport &Telecom
Felipe Ward,Q5858483,2018-03-11,2019-10-28,National Assets
Susana Jiménez Schuster,Q64596365,2018-03-11,2019-06-13,Energy
Marcela Cubillos,Q5995504,2018-03-11,2018-08-09,Environment
Isabel Plá,Q47509510,2018-03-11,2020-03-13,Women
Alejandra Pérez Lecaros,Q56037180,2018-03-11,2018-08-09,Culture & theArts
Pauline Kantor,Q56167729,2018-03-11,2019-10-28,Sports
